year,sector,data_category,data_type,data_value,unit,data_source,area
2001,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
2001,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
2001,Agriculture,Fertilizer,SA,12674,Unspecified,,Mainland
2002,Agriculture,Fertilizer,CAN,12577,Unspecified,,Mainland
2002,Agriculture,Fertilizer,UREA,30334,Unspecified,,Mainland
2002,Agriculture,Fertilizer,DAP,6515,Unspecified,,Mainland
2002,Agriculture,Fertilizer,NPK,12175,Unspecified,,Mainland
2002,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
2002,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
2002,Agriculture,Fertilizer,SA,12600,Unspecified,,Mainland
2003,Agriculture,Fertilizer,CAN,21494,Unspecified,,Mainland
2003,Agriculture,Fertilizer,UREA,36150,Unspecified,,Mainland
2003,Agriculture,Fertilizer,DAP,3897,Unspecified,,Mainland
2003,Agriculture,Fertilizer,NPK,22944,Unspecified,,Mainland
2003,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
2003,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
2003,Agriculture,Fertilizer,SA,4099,Unspecified,,Mainland
2004,Agriculture,Fertilizer,CAN,12680,Unspecified,,Mainland
2004,Agriculture,Fertilizer,UREA,54674,Unspecified,,Mainland
2004,Agriculture,Fertilizer,DAP,10551,Unspecified,,Mainland
2004,Agriculture,Fertilizer,NPK,26028,Unspecified,,Mainland
2004,Agriculture,Fertilizer,Limestone,0,Unspecified,,Mainland
2004,Agriculture,Fertilizer,Dolomite,0,Unspecified,,Mainland
2004,Agriculture,Fertilizer,SA,2593,Unspecified,,Mainland
2005,Agriculture,Fertilizer,CAN,15460,Unspecified,,Mainland
2005,Agriculture,Fertilizer,UREA,46570,Unspecified,,Mainland
2005,Agriculture,Fertilizer,DAP,26588,Unspecified,,Mainland
2005,Agriculture,Fertilizer,NPK,23751,Unspecified,,Mainland
2005,Agriculture,Fertilizer,Limestone,1350.8406584583374,Unspecified,,Mainland
2005,Agriculture,Fertilizer,Dolomite,59.64207399854782,Unspecified,,Mainland
2005,Agriculture,Fertilizer,SA,1554,Unspecified,,Mainland
2006,Agriculture,Fertilizer,CAN,25588.53,Unspecified,,Mainland
2006,Agriculture,Fertilizer,UREA,56821.83,Unspecified,,Mainland
2006,Agriculture,Fertilizer,DAP,21437.55,Unspecified,,Mainland
2006,Agriculture,Fertilizer,NPK,30411.100000000002,Unspecified,,Mainland
2006,Agriculture,Fertilizer,Limestone,1358.2158091404935,Unspecified,,Mainland
2006,Agriculture,Fertilizer,Dolomite,59.9677003261101,Unspecified,,Mainland
2006,Agriculture,Fertilizer,SA,4877,Unspecified,,Mainland
2007,Agriculture,Fertilizer,CAN,12079.1,Unspecified,,Mainland
2007,Agriculture,Fertilizer,UREA,69133.43,Unspecified,,Mainland
2007,Agriculture,Fertilizer,DAP,19408.35,Unspecified,,Mainland
2007,Agriculture,Fertilizer,NPK,38086.799999999996,Unspecified,,Mainland
2007,Agriculture,Fertilizer,Limestone,1365.6312257468678,Unspecified,,Mainland
2007,Agriculture,Fertilizer,Dolomite,60.29510446752244,Unspecified,,Mainland
2007,Agriculture,Fertilizer,SA,4619.5,Unspecified,,Mainland
2008,Agriculture,Fertilizer,CAN,12079.1,Unspecified,,Mainland
2008,Agriculture,Fertilizer,UREA,73200,Unspecified,,Mainland
2008,Agriculture,Fertilizer,DAP,20000,Unspecified,,Mainland
2008,Agriculture,Fertilizer,NPK,35527.149999999994,Unspecified,,Mainland
2008,Agriculture,Fertilizer,Limestone,1373.0871281163118,Unspecified,,Mainland
2008,Agriculture,Fertilizer,Dolomite,60.62429612907031,Unspecified,,Mainland
2008,Agriculture,Fertilizer,SA,4619.5,Unspecified,,Mainland
2009,Agriculture,Fertilizer,CAN,23437.6,Unspecified,,Mainland
2009,Agriculture,Fertilizer,UREA,90851.35,Unspecified,,Mainland
2009,Agriculture,Fertilizer,DAP,41636.26,Unspecified,,Mainland
2009,Agriculture,Fertilizer,NPK,54642.16,Unspecified,,Mainland
2009,Agriculture,Fertilizer,Limestone,1380.5837372879248,Unspecified,,Mainland
2009,Agriculture,Fertilizer,Dolomite,60.95528507003232,Unspecified,,Mainland
2009,Agriculture,Fertilizer,SA,13351.24,Unspecified,,Mainland
2010,Agriculture,Fertilizer,CAN,14359.376000000002,Unspecified,,Mainland
2010,Agriculture,Fertilizer,UREA,100464.65,Unspecified,,Mainland
2010,Agriculture,Fertilizer,DAP,42908.9,Unspecified,,Mainland
2010,Agriculture,Fertilizer,NPK,61369.53999999999,Unspecified,,Mainland
2010,Agriculture,Fertilizer,Limestone,1388.1212755076087,Unspecified,,Mainland
2010,Agriculture,Fertilizer,Dolomite,61.28808110296956,Unspecified,,Mainland
2010,Agriculture,Fertilizer,SA,4001.86,Unspecified,,Mainland
2011,Agriculture,Fertilizer,CAN,12808,Unspecified,,Mainland
2011,Agriculture,Fertilizer,UREA,69000,Unspecified,,Mainland
2011,Agriculture,Fertilizer,DAP,69918,Unspecified,,Mainland
2011,Agriculture,Fertilizer,NPK,53396,Unspecified,,Mainland
2011,Agriculture,Fertilizer,Limestone,1395.699966234655,Unspecified,,Mainland
2011,Agriculture,Fertilizer,Dolomite,61.622694094016524,Unspecified,,Mainland
2011,Agriculture,Fertilizer,SA,4125.6,Unspecified,,Mainland
2012,Agriculture,Fertilizer,CAN,9852.800000000001,Unspecified,,Mainland
2012,Agriculture,Fertilizer,UREA,65854.81,Unspecified,,Mainland
2012,Agriculture,Fertilizer,DAP,21000,Unspecified,,Mainland
2012,Agriculture,Fertilizer,NPK,35886.4,Unspecified,,Mainland
2012,Agriculture,Fertilizer,Limestone,1403.3200341483705,Unspecified,,Mainland
2012,Agriculture,Fertilizer,Dolomite,61.9591339631736,Unspecified,,Mainland
2012,Agriculture,Fertilizer,SA,3178.4,Unspecified,,Mainland
2013,Agriculture,Fertilizer,CAN,9367,Unspecified,,Mainland
2013,Agriculture,Fertilizer,UREA,147014,Unspecified,,Mainland
2013,Agriculture,Fertilizer,DAP,35911,Unspecified,,Mainland
2013,Agriculture,Fertilizer,NPK,48158,Unspecified,,Mainland
2013,Agriculture,Fertilizer,Limestone,1410.981705154738,Unspecified,,Mainland
2013,Agriculture,Fertilizer,Dolomite,62.29741068460113,Unspecified,,Mainland
2013,Agriculture,Fertilizer,SA,5957,Unspecified,,Mainland
2014,Agriculture,Fertilizer,CAN,8260.168571428574,Unspecified,,Mainland
2014,Agriculture,Fertilizer,UREA,165824,Unspecified,,Mainland
2014,Agriculture,Fertilizer,DAP,38823.87380952381,Unspecified,,Mainland
2014,Agriculture,Fertilizer,NPK,58637.96875061192,Unspecified,,Mainland
2014,Agriculture,Fertilizer,Limestone,1418.6852063931133,Unspecified,,Mainland
2014,Agriculture,Fertilizer,Dolomite,62.63753428691515,Unspecified,,Mainland
2014,Agriculture,Fertilizer,SA,6299.5,Unspecified,,Mainland
2015,Agriculture,Fertilizer,CAN,7153.063714285718,Unspecified,,Mainland
2015,Agriculture,Fertilizer,UREA,155124,Unspecified,,Mainland
2015,Agriculture,Fertilizer,DAP,81736,Unspecified,,Mainland
2015,Agriculture,Fertilizer,NPK,56764.09510609444,Unspecified,,Mainland
2015,Agriculture,Fertilizer,Limestone,1426.4307662429596,Unspecified,,Mainland
2015,Agriculture,Fertilizer,Dolomite,62.97951485348466,Unspecified,,Mainland
2015,Agriculture,Fertilizer,SA,6642.5,Unspecified,,Mainland
2016,Agriculture,Fertilizer,CAN,47696.5811170929,Unspecified,,Mainland
2016,Agriculture,Fertilizer,UREA,89487.0540188426,Unspecified,,Mainland
2016,Agriculture,Fertilizer,DAP,53303.87314939419,Unspecified,,Mainland
2016,Agriculture,Fertilizer,NPK,58125.782851951546,Unspecified,,Mainland
2016,Agriculture,Fertilizer,Limestone,1434.2186143306174,Unspecified,,Mainland
2016,Agriculture,Fertilizer,Dolomite,63.32336252273059,Unspecified,,Mainland
2016,Agriculture,Fertilizer,SA,32984.75928263802,Unspecified,,Mainland
2017,Agriculture,Fertilizer,CAN,60172.2168573352,Unspecified,,Mainland
2017,Agriculture,Fertilizer,UREA,109782.75928506,Unspecified,,Mainland
2017,Agriculture,Fertilizer,DAP,60673.5328869446,Unspecified,,Mainland
2017,Agriculture,Fertilizer,NPK,61697.24753095559,Unspecified,,Mainland
2017,Agriculture,Fertilizer,Limestone,1442.0489815361123,Unspecified,,Mainland
2017,Agriculture,Fertilizer,Dolomite,63.66908748842634,Unspecified,,Mainland
2017,Agriculture,Fertilizer,SA,42723.10725908487,Unspecified,,Mainland
2018,Agriculture,Fertilizer,CAN,63074.1944818305,Unspecified,,Mainland
2018,Agriculture,Fertilizer,UREA,110229.73697716095,Unspecified,,Mainland
2018,Agriculture,Fertilizer,DAP,65618.4831452529,Unspecified,,Mainland
2018,Agriculture,Fertilizer,NPK,64196.046805466394,Unspecified,,Mainland
2018,Agriculture,Fertilizer,Limestone,1449.9221,Unspecified,,Mainland
2018,Agriculture,Fertilizer,Dolomite,64.0167,Unspecified,,Mainland
2018,Agriculture,Fertilizer,SA,44214.9424203334,Unspecified,,Mainland
2019,Agriculture,Fertilizer,CAN,72001.008,Unspecified,,Mainland
2019,Agriculture,Fertilizer,UREA,141293.741,Unspecified,,Mainland
2019,Agriculture,Fertilizer,DAP,75819.435,Unspecified,,Mainland
2019,Agriculture,Fertilizer,NPK,70939.84492999993,Unspecified,,Mainland
2019,Agriculture,Fertilizer,Limestone,6620.449879999998,Unspecified,,Mainland
2019,Agriculture,Fertilizer,Dolomite,1559.9859,Unspecified,,Mainland
2019,Agriculture,Fertilizer,SA,56249.47,Unspecified,,Mainland
2020,Agriculture,Fertilizer,CAN,74536.282,Unspecified,,Mainland
2020,Agriculture,Fertilizer,UREA,140806.038,Unspecified,,Mainland
2020,Agriculture,Fertilizer,DAP,72121.21200000003,Unspecified,,Mainland
2020,Agriculture,Fertilizer,NPK,62228.00000000001,Unspecified,,Mainland
2020,Agriculture,Fertilizer,Limestone,8156.120665,Unspecified,,Mainland
2020,Agriculture,Fertilizer,Dolomite,1340.981,Unspecified,,Mainland
2020,Agriculture,Fertilizer,SA,64226.530000000006,Unspecified,,Mainland
2021,Agriculture,Fertilizer,CAN,43431.923899999994,Unspecified,,Mainland
2021,Agriculture,Fertilizer,UREA,76895.24399999998,Unspecified,,Mainland
2021,Agriculture,Fertilizer,DAP,31690.510999999988,Unspecified,,Mainland
2021,Agriculture,Fertilizer,NPK,51349,Unspecified,,Mainland
2021,Agriculture,Fertilizer,Limestone,968.5722,Unspecified,,Mainland
2021,Agriculture,Fertilizer,Dolomite,1316.1581399999998,Unspecified,,Mainland
2021,Agriculture,Fertilizer,SA,46897.322,Unspecified,,Mainland
1990,Agriculture,Livestock,Mature Dairy cattle,387490.9995,Number,,Mainland
1990,Agriculture,Livestock,Other Cattle,12528875.6505,Number,,Mainland
